label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,blank,RT_12C_01,RT_12C_02,RT_12C_03
,3310,3310,2,221.874664,2.625,0.639163,,,221.874664@2.624996,221.874664@2.624996,,0.000,0.000000,221.874664,3037.70,43524.01,24802.51,75485.80
,3311,3311,3,274.863495,13.962,0.852853,,,274.863495@13.961818,274.863495@13.961818,,0.000,0.000000,274.863495,0.00,169701.05,190807.02,179014.12
,3312,3312,2,981.637024,2.596,0.634750,,,981.637024@2.595933,981.637024@2.595933,,0.000,0.000000,981.637024,0.00,45520.38,20221.03,28955.37
,3313,3313,4,517.280029,7.002,0.837660,,,517.280029@7.002221,517.280029@7.002221,,0.000,0.000000,517.280029,15381.43,136803.80,106598.56,180392.25
,3314,3314,4,390.294525,2.625,0.852258,,,390.294525@2.625262,390.294525@2.625262,,0.000,0.000000,390.294525,29420.17,182335.67,192368.20,170321.70
,3315,3315,4,551.110107,2.822,0.851897,,,551.110107@2.821962,551.110107@2.821962,,0.000,0.000000,551.110107,38165.29,97760.19,180689.00,190349.69
,3316,3316,3,308.040283,4.127,0.764448,,,308.040283@4.127428,308.040283@4.127428,,0.000,0.000000,308.040283,0.00,141651.34,117259.75,129250.88
,3317,3317,3,168.028885,13.614,0.795349,,,168.028885@13.614367,168.028885@13.614367,,0.000,0.000000,168.028885,12115.42,163408.38,171013.55,183007.39
,3318,3318,3,329.915497,14.060,0.851984,,,329.915497@14.060105,329.915497@14.060105,,0.000,0.000000,329.915497,0.00,194643.92,213333.45,197779.92
,3319,3319,3,288.981140,13.484,0.852608,,,288.981140@13.484267,288.981140@13.484267,,0.000,0.000000,288.981140,2391.45,171337.67,179711.83,178307.95
,3320,3320,3,323.186859,4.103,0.795189,,,323.186859@4.102988,323.186859@4.102988,,0.000,0.000000,323.186859,8033.47,163582.05,113672.81,110070.09
,3321,3321,4,373.224854,12.255,0.852715,,,373.224854@12.255041,373.224854@12.255041,,0.000,0.000000,373.224854,61469.86,211464.20,165363.33,190057.55
,3322,3322,4,327.163788,2.166,0.849851,,,327.163788@2.165837,327.163788@2.165837,,0.000,0.000000,327.163788,35388.40,45276.89,215586.25,62284.81
,3323,3323,3,278.928680,13.680,0.852899,,,278.928680@13.679576,278.928680@13.679576,,0.000,0.000000,278.928680,25095.53,198059.23,164195.86,178559.92
,3324,3324,3,534.236877,7.003,0.850939,,,534.236877@7.003067,534.236877@7.003067,,0.000,0.000000,534.236877,0.00,163360.69,147085.41,196348.30
,3325,3325,3,290.945099,11.864,0.803598,,,290.945099@11.863900,290.945099@11.863900,,0.000,0.000000,290.945099,0.00,187918.17,165951.11,170730.91
,3326,3326,3,240.081268,11.883,0.852348,,,240.081268@11.883488,240.081268@11.883488,,0.000,0.000000,240.081268,2856.35,209647.17,133041.66,188399.38
,3327,3327,3,181.087036,3.706,0.708718,,,181.087036@3.706175,181.087036@3.706175,,0.000,0.000000,181.087036,19370.66,186229.05,181855.98,189137.98
,3328,3328,3,326.916382,14.067,0.813548,,,326.916382@14.067005,326.916382@14.067005,,0.000,0.000000,326.916382,0.00,170084.48,196263.83,191668.61
,3329,3329,1,922.619690,2.586,0.734147,,,922.619690@2.585933,922.619690@2.585933,,0.000,0.000000,922.619690,10862.11,81163.29,22330.90,108891.95
,3330,3330,3,261.035645,11.182,0.806659,,,261.035645@11.181994,261.035645@11.181994,,0.000,0.000000,261.035645,0.00,203026.33,171142.62,166527.67
,3331,3331,2,211.134033,4.093,0.731117,,,211.134033@4.093192,211.134033@4.093192,,0.000,0.000000,211.134033,32036.91,161815.88,117879.44,137754.42
,3332,3332,3,432.223846,3.021,0.852307,,,432.223846@3.021461,432.223846@3.021461,,0.000,0.000000,432.223846,0.00,173015.89,188553.95,175129.94
,3333,3333,4,355.168213,2.728,0.851313,,,355.168213@2.727775,355.168213@2.727775,,0.000,0.000000,355.168213,71823.05,188604.45,57798.91,53089.42
,3334,3334,3,727.511292,4.115,0.852285,,,727.511292@4.114656,727.511292@4.114656,,0.000,0.000000,727.511292,0.00,165338.33,191796.81,140987.05
,3335,3335,4,232.570465,6.993,0.852432,,,232.570465@6.992896,232.570465@6.992896,,0.000,0.000000,232.570465,59216.96,182861.06,163113.67,172881.44
,3336,3336,4,192.103073,2.862,0.829965,,,192.103073@2.861900,192.103073@2.861900,,0.000,0.000000,192.103073,66034.29,176924.12,177295.33,208450.70
,3337,3337,4,144.111115,2.862,0.852482,,,144.111115@2.861675,144.111115@2.861675,,0.000,0.000000,144.111115,66080.80,195011.48,143397.69,154385.45
,3338,3338,3,784.513245,6.966,0.852536,,,784.513245@6.965717,784.513245@6.965717,,0.000,0.000000,784.513245,0.00,201729.58,209157.17,145186.30
,3339,3339,3,79.390038,4.127,0.851435,,,79.390038@4.127428,79.390038@4.127428,,0.000,0.000000,79.390038,0.00,80177.01,149281.84,49447.98
,3340,3340,3,446.333649,2.970,0.828471,,,446.333649@2.970129,446.333649@2.970129,,0.000,0.000000,446.333649,7468.22,182699.55,202407.42,135748.64
,3341,3341,4,354.203461,4.236,0.850690,,,354.203461@4.236421,354.203461@4.236421,,0.000,0.000000,354.203461,52179.11,180581.38,138265.61,182875.42
,3342,3342,3,277.083008,7.013,0.852147,,,277.083008@7.012879,277.083008@7.012879,,0.000,0.000000,277.083008,1387.63,189256.98,132357.55,138356.25
,3343,3343,3,245.001984,11.833,0.796808,,,245.001984@11.833037,245.001984@11.833037,,0.000,0.000000,245.001984,1508.76,197366.70,183799.92,201910.73
,3344,3344,3,693.493286,7.212,0.842523,,,693.493286@7.212375,693.493286@7.212375,,0.000,0.000000,693.493286,46050.86,135434.33,194960.12,141214.95
,3345,3345,3,330.914276,14.060,0.818413,,,330.914276@14.059811,330.914276@14.059811,,0.000,0.000000,330.914276,0.00,209916.08,201733.81,213070.12
,3346,3346,4,269.187012,4.084,0.851819,,,269.187012@4.083658,269.187012@4.083658,,0.000,0.000000,269.187012,24996.34,186285.38,126825.25,178104.69
,3347,3347,3,357.076935,13.369,0.852298,,,357.076935@13.369210,357.076935@13.369210,,0.000,0.000000,357.076935,0.00,133953.95,140849.94,174365.62
,3348,3348,3,107.050247,3.999,0.853018,,,107.050247@3.998696,107.050247@3.998696,,0.000,0.000000,107.050247,4226.41,195906.25,197939.38,168931.73
,3349,3349,4,165.092133,2.669,0.800269,,,165.092133@2.668983,165.092133@2.668983,,0.000,0.000000,165.092133,16156.10,213003.88,191959.67,156785.44
,3350,3350,4,299.148956,2.040,0.811721,,,299.148956@2.040446,299.148956@2.040446,,0.000,0.000000,299.148956,75636.84,63947.83,186488.05,71772.55
,3351,3351,4,669.443115,4.286,0.848747,,,669.443115@4.286379,669.443115@4.286379,,0.000,0.000000,669.443115,58051.24,206569.83,208020.38,217093.11
,3352,3352,3,475.305878,3.028,0.852747,,,475.305878@3.027728,475.305878@3.027728,,0.000,0.000000,475.305878,0.00,182101.42,205157.38,207132.30
,3353,3353,3,460.241425,6.985,0.852519,,,460.241425@6.984694,460.241425@6.984694,,0.000,0.000000,460.241425,0.00,161392.61,195489.64,151476.52
,3354,3354,3,402.164795,13.539,0.852192,,,402.164795@13.538606,402.164795@13.538606,,0.000,0.000000,402.164795,0.00,170681.44,185588.94,142089.33
,3355,3355,3,381.101562,11.891,0.852389,,,381.101562@11.891067,381.101562@11.891067,,0.000,0.000000,381.101562,0.00,203702.25,159460.19,196324.14
,3356,3356,3,217.048462,11.753,0.836478,,,217.048462@11.752866,217.048462@11.752866,,0.000,0.000000,217.048462,0.00,209758.64,180955.25,202008.42
,3357,3357,1,127.001297,13.907,0.681985,,,127.001297@13.907003,127.001297@13.907003,,0.000,0.000000,127.001297,90200.12,313724.16,223666.33,279722.22
,3358,3358,3,226.862183,3.626,0.852549,,,226.862183@3.625639,226.862183@3.625639,,0.000,0.000000,226.862183,0.00,211464.80,223664.14,125573.85
